source,question_id,subject,question,question_type,answer_options,num_options,question_length
Pew_American_Trends_Panel_W27.csv,594,Science,"How much do you agree or disagree with the following statement? It will take 50 to less than 100 years for most of the vehicles on the road to be driverless, rather than driven by humans.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,187
Pew_American_Trends_Panel_W27.csv,595,Science,"How much do you agree or disagree with the following statement? It will take 100 or more years for most of the vehicles on the road to be driverless, rather than driven by humans.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,179
Pew_American_Trends_Panel_W27.csv,596,Science,"How much do you agree or disagree with the following statement? It will never happen that most of the vehicles on the road are driverless, rather than driven by humans.",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,168
Pew_American_Trends_Panel_W27.csv,600,Science,"If driverless vehicles become widespread, do you think that the number of people killed or injured in traffic accidents will increase, decrease, or stay about the same?",IncreaseDecrease,"['Increase a lot', 'Increase a little', 'Stay about the same', 'Decrease a little', 'Decrease a lot']",5,168
Pew_American_Trends_Panel_W27.csv,601,Science,"How acceptable, if at all, do you find the following rules and regulations for driverless vehicles? Requiring them to travel in dedicated lanes",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,143
Pew_American_Trends_Panel_W27.csv,602,Science,"How acceptable, if at all, do you find the following rules and regulations for driverless vehicles? Restricting them from traveling near certain areas, such as schools",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,167
Pew_American_Trends_Panel_W27.csv,603,Science,"How acceptable, if at all, do you find the following rules and regulations for driverless vehicles? Requiring them to have a person in the driver's seat who could take control in an emergency situation",Acceptance,"['Always acceptable', 'Sometimes acceptable', 'Rarely acceptable', 'Never acceptable']",4,201
Pew_American_Trends_Panel_W27.csv,604,General Opinion,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Elderly and disabled people will be able to live more independently",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,179
Pew_American_Trends_Panel_W27.csv,605,General Opinion,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Many people who drive for a living would lose their jobs",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,168
Pew_American_Trends_Panel_W27.csv,606,General Opinion,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Owning a car would become much less important to people",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,167
Pew_American_Trends_Panel_W27.csv,607,General Opinion,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Most people would never learn how to drive a car on their own",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,173
Pew_American_Trends_Panel_W27.csv,608,General Opinion,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? There would be much less traffic in major cities",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,160
Pew_American_Trends_Panel_W27.csv,609,Economy & Work,"On a different subject, would you say that society generally places too much importance on working and having a job, not enough importance on working and having a job, or is it just about right?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,194
Pew_American_Trends_Panel_W27.csv,620,Economy & Work,"Based on what you know, does the idea of robots and computers being able to do most of the jobs currently done by humans in the future seem likely to happen?",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,157
Pew_American_Trends_Panel_W27.csv,621,Economy & Work,"How much enthusiasm, if at all, do you feel towards the possibility of robots and computers being able to do most of the jobs currently done by humans in the future, for society as a whole?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,189
Pew_American_Trends_Panel_W27.csv,622,Economy & Work,"How worried are you, if at all, about the possibility of robots and computers being able to do most of the jobs currently done by humans in the future, for society as a whole?",Concern,"['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned']",4,175
Pew_American_Trends_Panel_W27.csv,623,Economy & Work,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? Inequality between rich and poor would be much worse than it is today,Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,227
Pew_American_Trends_Panel_W27.csv,624,Economy & Work,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? People would have a hard time finding things to do with their lives,Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,225
Pew_American_Trends_Panel_W27.csv,625,Economy & Work,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? People would be able to focus less on work and more on the things that really matter to them in life,Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,258
Pew_American_Trends_Panel_W27.csv,626,Economy & Work,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? The economy as a whole would be much more efficient,Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,209
Pew_American_Trends_Panel_W27.csv,627,Economy & Work,"Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? The economy would create many new, better-paying jobs for humans",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,222
Pew_American_Trends_Panel_W27.csv,628,Economy & Work,Do you think the following are likely to happen as a result of robots and computers being able to do most of the jobs currently done by humans in the future? Humans would find their jobs more meaningful and fulfilling since machines would mostly be doing things that humans find unappealing,Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,290
Pew_American_Trends_Panel_W27.csv,629,Economy & Work,"Overall, how good or bad do you think it would be if robots and computers were mostly limited to doing jobs that are dangerous or unhealthy for humans to do?",GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,157
Pew_American_Trends_Panel_W27.csv,630,General Opinion,"Overall, how good or bad do you think it would be if people had the option of paying extra to interact with a human, rather than a robot or computer, when buying a product or service?",GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,183
Pew_American_Trends_Panel_W27.csv,631,Politics & Government,"Overall, how good or bad do you think it would be if the federal government created a national service program that paid people to perform tasks even if a robot or computer could do those tasks faster or cheaper?",GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,212
Pew_American_Trends_Panel_W27.csv,644,General Opinion,"Please consider the following scenario - in the future, people could be provided with a robot caregiver that would allow them to continue living in their own home as they age. How much have you heard, read, or thought about this idea before today?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,247
Pew_American_Trends_Panel_W27.csv,645,General Opinion,Based on what you know does the concept of a robot caregiver for the elderly seem likely or not likely to happen?,Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,113
Pew_American_Trends_Panel_W27.csv,646,General Opinion,"How much enthusiasm, if at all, do you feel towards the possibility of a robot caregiver for society as a whole?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,112
Pew_American_Trends_Panel_W27.csv,647,General Opinion,"How worried are you, if at all, about the possibility of a robot caregiver for society as a whole?",Concern,"['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned']",4,98
Pew_American_Trends_Panel_W27.csv,649,General Opinion,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Young people would feel less worried about caring for their aging relatives",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,200
Pew_American_Trends_Panel_W27.csv,650,General Opinion,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Society would save money on caring for older adults",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,176
Pew_American_Trends_Panel_W27.csv,651,General Opinion,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Many older adults would treat their robot caregiver like a human friend",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,196
Pew_American_Trends_Panel_W27.csv,652,General Opinion,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more isolated than they do today",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,181
Pew_American_Trends_Panel_W27.csv,653,General Opinion,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more independent and self-sufficient",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,185
Pew_American_Trends_Panel_W27.csv,654,General Opinion,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? These robots would only be used by people who could not afford a human caregiver for their loved one",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,225
Pew_American_Trends_Panel_W27.csv,655,General Opinion,"Would you feel better, worse, or would it not make a difference if the robot caregiver in this scenario had a camera so that a human operator could monitor the situation at all times?",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,183
Pew_American_Trends_Panel_W27.csv,657,Economy & Work,"Based on what you know, does the concept of using computer programs to make hiring decisions seem likely or not likely to happen?",Likelihood,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",4,129
Pew_American_Trends_Panel_W27.csv,658,Economy & Work,"How much enthusiasm, if at all, do you feel towards the possibility of using computer programs to make hiring decisions for society as a whole?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,143
Pew_American_Trends_Panel_W27.csv,659,Economy & Work,"How worried are you, if at all, about the possibility of using computer programs to make hiring decisions for society as a whole?",Concern,"['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned']",4,129
Pew_American_Trends_Panel_W27.csv,661,Economy & Work,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to hiring candidates who are well-qualified",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,166
Pew_American_Trends_Panel_W27.csv,662,Economy & Work,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to hiring candidates who fit well with the company's culture",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,183
Pew_American_Trends_Panel_W27.csv,663,Economy & Work,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to choosing candidates from a diverse range of backgrounds",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,181
Pew_American_Trends_Panel_W27.csv,664,Economy & Work,"Do you think computer programs for hiring would do a better job, a worse job, or do about the same as humans when it comes to providing opportunities for candidates with non-traditional experiences",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,197
Pew_American_Trends_Panel_W27.csv,665,Economy & Work,Would you feel better or worse about computer programs making hiring decisions if these computer programs included public data about each candidate - such as the material they post on social media - in making their evaluations,BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,226
Pew_American_Trends_Panel_W27.csv,666,Economy & Work,"Would you feel better or worse about computer programs making hiring decisions if companies used these computer programs to conduct initial screenings of potential candidates, but then interviewed those candidates in the traditional way",BetterOrWorse,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",5,236
Pew_American_Trends_Panel_W27.csv,676,General Opinion,How much do you agree or disagree with the following statement? Private citizens should be allowed to pilot drones near people's homes.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,135
Pew_American_Trends_Panel_W27.csv,677,General Opinion,How much do you agree or disagree with the following statement? Private citizens should not be allowed to pilot drones near people's homes.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,139
Pew_American_Trends_Panel_W27.csv,678,General Opinion,How much do you agree or disagree with the following statement? Private citizens should be allowed to pilot drones near crime scenes or traffic accidents?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,154
Pew_American_Trends_Panel_W27.csv,679,General Opinion,How much do you agree or disagree with the following statement? Private citizens should not be allowed to pilot drones near crime scenes or traffic accidents?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,158
Pew_American_Trends_Panel_W27.csv,680,General Opinion,How much do you agree or disagree with the following statement? Private citizens should be allowed to pilot drones on beaches?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,126
Pew_American_Trends_Panel_W27.csv,681,General Opinion,How much do you agree or disagree with the following statement? Private citizens should not be allowed to pilot drones on beaches?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,130
Pew_American_Trends_Panel_W27.csv,682,General Opinion,How much do you agree or disagree with the following statement? Private citizens should be allowed to pilot drones in public parks?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,131
Pew_American_Trends_Panel_W27.csv,683,General Opinion,How much do you agree or disagree with the following statement? Private citizens should not be allowed to pilot drones in public parks?,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,135
Pew_American_Trends_Panel_W27.csv,684,General Opinion,"How much do you agree or disagree with the following statement? Private citizens should be allowed to pilot drones at events, like concerts or rallies?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,151
Pew_American_Trends_Panel_W27.csv,685,General Opinion,"How much do you agree or disagree with the following statement? Private citizens should not be allowed to pilot drones at events, like concerts or rallies?",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,155
Pew_American_Trends_Panel_W29.csv,689,General Opinion,How much do you think men and women differ when it comes to their hobbies and personal interests?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,97
Pew_American_Trends_Panel_W29.csv,690,General Opinion,How much do you think men and women differ when it comes to their physical abilities?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,85
Pew_American_Trends_Panel_W29.csv,691,General Opinion,How much do you think men and women differ when it comes to their approach to parenting?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,88
Pew_American_Trends_Panel_W29.csv,692,General Opinion,How much do you think men and women differ when it comes to how they express their feelings?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,92
Pew_American_Trends_Panel_W29.csv,693,General Opinion,How much do you think men and women differ when it comes to the things they are good at in the workplace?,Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,105
Pew_American_Trends_Panel_W29.csv,694,General Opinion,How much do you agree or disagree with the following statement? Most people look up to men who are manly or masculine.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,118
Pew_American_Trends_Panel_W29.csv,695,General Opinion,How much do you agree or disagree with the following statement? Most people look down on men who are manly or masculine.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,120
Pew_American_Trends_Panel_W29.csv,696,General Opinion,Do you think it's good or bad that most people in our society look up to men who are manly or masculine?,GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,104
Pew_American_Trends_Panel_W29.csv,697,General Opinion,Do you think it's good or bad that most people in our society look down on men who are manly or masculine?,GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,106
Pew_American_Trends_Panel_W29.csv,698,General Opinion,How much do you agree or disagree with the following statement? Most people look up to women who are womanly or feminine.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,121
Pew_American_Trends_Panel_W29.csv,699,General Opinion,How much do you agree or disagree with the following statement? Most people look down on women who are womanly or feminine.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,123
Pew_American_Trends_Panel_W29.csv,700,General Opinion,Do you think it's good or bad that most people in our society look up to women who are womanly or feminine?,GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,107
Pew_American_Trends_Panel_W29.csv,701,General Opinion,Do you think it's good or bad that most people in our society look down on women who are womanly or feminine?,GoodOrBad,"['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",4,109
Pew_American_Trends_Panel_W29.csv,710,General Opinion,How much do you agree or disagree with the following statement? Whether someone is a man or a woman is determined by the sex they were assigned at birth.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,153
Pew_American_Trends_Panel_W29.csv,711,General Opinion,How much do you agree or disagree with the following statement? Someone can be a man or a woman even if that is different from the sex they were assigned at birth.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,163
Pew_American_Trends_Panel_W29.csv,712,General Opinion,"How well, if at all, do the following words or phrases describe you? Honor and duty are my core values",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,102
Pew_American_Trends_Panel_W29.csv,713,General Opinion,"How well, if at all, do the following words or phrases describe you? Compassion and helping others are my core values",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,117
Pew_American_Trends_Panel_W29.csv,714,General Opinion,"How well, if at all, do the following words or phrases describe you? Willing to work with people I disagree with",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,112
Pew_American_Trends_Panel_W29.csv,715,General Opinion,"How well, if at all, do the following words or phrases describe you? Blue collar",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,80
Pew_American_Trends_Panel_W29.csv,716,General Opinion,"How well, if at all, do the following words or phrases describe you? Focused on my professional life and career",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,111
Pew_American_Trends_Panel_W29.csv,717,General Opinion,"How well, if at all, do the following words or phrases describe you? Interested in visiting other countries",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,107
Pew_American_Trends_Panel_W29.csv,718,General Opinion,"How well, if at all, do the following words or phrases describe you? Environmentalist",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,85
Pew_American_Trends_Panel_W29.csv,719,General Opinion,"How well, if at all, do the following words or phrases describe you? Have traditional values",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,92
Pew_American_Trends_Panel_W29.csv,720,General Opinion,"How well, if at all, do the following words or phrases describe you? Supporter of the National Rifle Association NRA",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,116
Pew_American_Trends_Panel_W29.csv,721,General Opinion,"How well, if at all, do the following words or phrases describe you? Supporter of the Black Lives Matter movement",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,113
Pew_American_Trends_Panel_W29.csv,722,General Opinion,"How well, if at all, do the following words or phrases describe you? Supporter of rights for lesbian, gay, bisexual and transgender LGBT people",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,143
Pew_American_Trends_Panel_W29.csv,723,General Opinion,"How well, if at all, do the following words or phrases describe you? Consider myself a feminist",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,95
Pew_American_Trends_Panel_W29.csv,725,General Opinion,How much do you agree or disagree with the following statement? Our society has gone too far in accepting people who are transgender.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,133
Pew_American_Trends_Panel_W29.csv,726,General Opinion,How much do you agree or disagree with the following statement? Our society has not gone far enough in accepting people who are transgender.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,140
Pew_American_Trends_Panel_W29.csv,727,General Opinion,"How well, if at all, do the following words or phrases describe you? Intelligent",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,80
Pew_American_Trends_Panel_W29.csv,729,General Opinion,"How well, if at all, do the following words or phrases describe you? Nurturing",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,78
Pew_American_Trends_Panel_W29.csv,730,General Opinion,"How well, if at all, do the following words or phrases describe you? Assertive",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,78
Pew_American_Trends_Panel_W29.csv,732,General Opinion,"How well, if at all, do the following words or phrases describe you? Sensitive",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,78
Pew_American_Trends_Panel_W29.csv,733,Education,"When it comes to raising boys, how important, if at all, do you think it is to encourage boys to be leaders these days?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,119
Pew_American_Trends_Panel_W29.csv,734,Education,"When it comes to raising boys, how important, if at all, do you think it is to encourage boys to stand up for themselves these days?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,132
Pew_American_Trends_Panel_W29.csv,735,Education,"When it comes to raising boys, how important, if at all, do you think it is to encourage boys to do well in school these days?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,126
Pew_American_Trends_Panel_W29.csv,736,Education,"When it comes to raising girls, how important, if at all, do you think it is to encourage girls to be leaders these days?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,121
Pew_American_Trends_Panel_W29.csv,737,Education,"When it comes to raising girls, how important, if at all, do you think it is to encourage girls to talk about their feelings when they are sad or upset these days?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,163
Pew_American_Trends_Panel_W29.csv,746,Politics & Government,How much do you agree or disagree with the following statement? I'm very optimistic about the future of the Democratic Party.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,125
Pew_American_Trends_Panel_W29.csv,747,Politics & Government,How much do you agree or disagree with the following statement? I'm very pessimistic about the future of the Democratic Party.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,126
Pew_American_Trends_Panel_W32.csv,751,Trust & Fear,"Generally speaking, how much would you say you can trust most people?",Quantity,"['A lot', 'A fair amount', 'Not too much', 'None at all']",4,69
Pew_American_Trends_Panel_W32.csv,762,Economy & Work,"How important, if at all, do you think a college education is in helping a young person succeed in the world today?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,115
Pew_American_Trends_Panel_W32.csv,763,Economy & Work,"How important, if at all, do you think knowing how to get along with people is in helping a young person succeed in the world today?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,132
Pew_American_Trends_Panel_W32.csv,764,Economy & Work,"How important, if at all, do you think a good work ethic is in helping a young person succeed in the world today?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,113
Pew_American_Trends_Panel_W32.csv,765,Economy & Work,"How important, if at all, do you think work skills learned on the job is in helping a young person succeed in the world today?",Importance,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",4,126
Pew_American_Trends_Panel_W32.csv,766,Politics & Government,"How much do you agree or disagree with the following statement? Thinking about how the federal government spends money, urban areas get more than their fair share",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,162
Pew_American_Trends_Panel_W32.csv,767,Politics & Government,"How much do you agree or disagree with the following statement? Thinking about how the federal government spends money, urban areas get less than their fair share",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,162
Pew_American_Trends_Panel_W32.csv,768,Politics & Government,"How much do you agree or disagree with the following statement? Thinking about how the federal government spends money, suburban areas get more than their fair share",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,165
Pew_American_Trends_Panel_W32.csv,769,Politics & Government,"How much do you agree or disagree with the following statement? Thinking about how the federal government spends money, suburban areas get less than their fair share",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,165
Pew_American_Trends_Panel_W32.csv,770,Politics & Government,"How much do you agree or disagree with the following statement? Thinking about how the federal government spends money, rural areas get more than their fair share",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,162
Pew_American_Trends_Panel_W32.csv,771,Politics & Government,"How much do you agree or disagree with the following statement? Thinking about how the federal government spends money, rural areas get less than their fair share",Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,162
Pew_American_Trends_Panel_W32.csv,786,Crime,"When it comes to sexual harassment in the workplace today, how big of a problem, if at all, would you say women claiming they have experienced sexual harassment or assault when it hasn't actually occurred is?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,208
Pew_American_Trends_Panel_W32.csv,787,Crime,"When it comes to sexual harassment in the workplace today, how big of a problem, if at all, would you say employers firing men who have been accused of sexual harassment or assault before finding out all the facts are?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,218
Pew_American_Trends_Panel_W32.csv,788,Crime,"When it comes to sexual harassment in the workplace today, how big of a problem, if at all, would you say men getting away with committing sexual harassment or assault is?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,171
Pew_American_Trends_Panel_W32.csv,789,Crime,"When it comes to sexual harassment in the workplace today, how big of a problem, if at all, would you say women not being believed when they claim that they have experienced sexual harassment or assault is?",Problem,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all']",4,206
Pew_American_Trends_Panel_W32.csv,790,Crime,How much do you agree or disagree with the following statement? The increased focus on sexual harassment and assault has made it easier for men to know how to interact with women in the workplace.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,196
Pew_American_Trends_Panel_W32.csv,791,Crime,How much do you agree or disagree with the following statement? The increased focus on sexual harassment and assault has made it harder for men to know how to interact with women in the workplace.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,196
Pew_American_Trends_Panel_W32.csv,809,General Opinion,"How well, if at all, do you think you understand the types of problems faced by people who live in urban areas?",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,111
Pew_American_Trends_Panel_W32.csv,810,General Opinion,"How well, if at all, do you think you understand the types of problems faced by people who live in suburban areas?",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,114
Pew_American_Trends_Panel_W32.csv,811,General Opinion,"How well, if at all, do you think you understand the types of problems faced by people who live in rural areas?",HowWell,"['Very well', 'Pretty well', 'Not too well', 'Not at all well', 'Not sure']",5,111
Pew_American_Trends_Panel_W32.csv,813,General Opinion,How much do you agree or disagree with the following statement? The growing number of newcomers from other countries threatens traditional American customs and values.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,167
Pew_American_Trends_Panel_W32.csv,814,General Opinion,How much do you agree or disagree with the following statement? The growing number of newcomers from other countries strengthens American society.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,146
Pew_American_Trends_Panel_W32.csv,815,General Opinion,How much do you agree or disagree with the following statement? Society is better off if people make marriage and having children a priority.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,141
Pew_American_Trends_Panel_W32.csv,816,General Opinion,How much do you agree or disagree with the following statement? Society is just as well off if people have priorities other than marriage and children.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,151
Pew_American_Trends_Panel_W32.csv,817,General Opinion,How much do you agree or disagree with the following statement? The economic system in this country unfairly favors powerful interests.,Agreement,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",4,135
